G18	b0020
G32	b0034
G62	b0064
G67	b0069
G73	b0076
G76	b0080
G77	b0081
G107	b0113
G156	b0162
G4259	b0225,b0226
G254	b0272
G276	b0294
G286	b0305
G293	b0313
G295	b0315
G310	b0330
G317	b0338
G324	b0345
G325	b0346
G336	b0357
G372	b0399
G386	b0413
G408	b0435
G420	b0447
G436	b0464
G459	b0487
G475	b0504
G477	b0506
G528	b0564
G530	b0566
G535	b0571
G582	b0620
G625	b0676
G632	b0683
G642	b0694
G676	b0730
G700	b0761
G735	b0796
G755	b0817
G778	b0840
G784	b0846
G826	b0889
G931	b0995
G948	b1013
G949	b1014
G969	b1040
G1039	b1111
G1058	b1130
G1090	b1162
G1112	b1187
G1126	b1201
G1146	b1221
G1159	b1237
G1194	b1275
G1203	b1284
G1218	b1299
G1222	b1303
G1239	b1320
G1242	b1323
G1247	b1328
G1253	b1334
G1274	b1356
G1298	b1384
G1313	b1399
G1332	b1422
G1343	b1434
G1346	b1438
G1358	b1450
G1405	b1499
G4264	b1507,b1508
G1413	b1508
G1415	b1512
G1433	b1530
G1434	b1531
G1443	b1540
G1467	b1564
G4269	b1564,b1563
G1473	b1570
G1495	b1594
G1509	b1608
G1519	b1618
G1521	b1620
G1543	b1642
G1550	b1649
G1559	b1658
G1560	b1659
G4265	b1712,b0912
G1631	b1735
G1686	b1790
G1723	b1827
G4260	b1891,b1892
G1804	b1914
G1806	b1916
G1811	b1921
G4267	b1951,b2217
G1852	b1969
G1864	b1987
G1865	b1988
G1891	b2017
G1951	b2079
G1974	b2105
G1992	b2125
G1994	b2127
G2017	b2151
G2057	b2193
G2077	b2213
G2081	b2217
G2084	b2220
G2151	b2289
G2219	b2364
G2224	b2369
G2236	b2381
G2250	b2398
G2253	b2405
G2275	b2427
G2339	b2491
G2379	b2531
G2385	b2537
G2402	b2554
G2491	b2664
G2496	b2669
G2510	b2684
G2527	b2706
G2528	b2707
G2530	b2709
G2535	b2714
G2552	b2731
G2556	b2735
G2602	b2783
G4266	b2783,b2782
G2624	b2805
G2627	b2808
G2653	b2837
G2655	b2839
G2725	b2916
G2783	b2980
G2809	b3010
G2818	b3021
G2820	b3023
G2822	b3025
G2856	b3060
G2866	b3071
G2870	b3075
G2877	b3082
G2889	b3094
G2900	b3105
G2909	b3118
G2919	b3131
G2988	b3202
G3011	b3226
G3022	b3237
G3028	b3243
G3037	b3255
G3043	b3261
G3046	b3264
G3065	b3292
G3130	b3357
G3146	b3375
G3176	b3405
G3189	b3418
G3191	b3422
G3192	b3423
G3205	b3438
G3248	b3481
G3266	b3501
G3277	b3512
G4261	b3512,b2217
G3280	b3515
G3281	b3516
G3320	b3556
G3333	b3569
G3338	b3574
G3368	b3604
G3432	b3669
G3461	b3702
G3469	b3711
G3501	b3743
G3511	b3753
G3520	b3773
G3568	b3828
G3599	b3868
G3615	b3884
G3636	b3905
G3637	b3906
G3643	b3912
G3663	b3934
G3667	b3938
G3689	b3961
G3691	b3963
G3697	b3973
G4262	b4000,b0440
G3723	b4004
G3733	b4018
G3758	b4043
G3761	b4046
G3777	b4062
G3778	b4063
G3804	b4089
G3825	b4113
G3828	b4116
G3830	b4118
G3836	b4124
G3845	b4133
G3886	b4178
G3899	b4191
G3946	b4241
G3963	b4260
G3967	b4264
G4021	b4324
G4024	b4327
G4058	b4365
G4268	b4366,b2217
G4080	b4390
G4083	b4393
G4086	b4396
G4088	b4398
G4091	b4401
G4123	b4479
G4124	b4480
G4141	b4498
