G1	BSU_00010
G37	BSU_00370
G47	BSU_00470
G56	BSU_00560
G67	BSU_00670
G68	BSU_00680
G83	BSU_00830
G104	BSU_01040
G105	BSU_01050
G155	BSU_01540
G165	BSU_01640
G170	BSU_01690
G182	BSU_01810
G238	BSU_02370
G246	BSU_02450
G251	BSU_02500
G271	BSU_02680
G277	BSU_02740
G327	BSU_03230
G353	BSU_03470
G369	BSU_03620
G383	BSU_03750
G399	BSU_03890
G406	BSU_03960
G422	BSU_04100
G428	BSU_04160
G492	BSU_04770
G498	BSU_04820
G554	BSU_05330
G567	BSU_05420
G611	BSU_05850
G624	BSU_05970
G654	BSU_06140
G741	BSU_06960
G746	BSU_07010
G767	BSU_07220
G784	BSU_07390
G802	BSU_07590
G824	BSU_07820
G852	BSU_08100
G861	BSU_08190
G872	BSU_08300
G876	BSU_08340
G879	BSU_08370
G903	BSU_08620
G914	BSU_08730
G923	BSU_08810
G970	BSU_09270
G981	BSU_09380
G986	BSU_09430
G1011	BSU_09690
G1012	BSU_09700
G1042	BSU_09990
G1085	BSU_10420
G1099	BSU_10560
G1127	BSU_10840
G1195	BSU_11500
G1253	BSU_12000
G1292	BSU_12370
G1306	BSU_12510
G1378	BSU_13150
G1395	BSU_13310
G1433	BSU_13670
G1457	BSU_13880
G1461	BSU_13920
G1472	BSU_14020
G1485	BSU_14140
G1495	BSU_14240
G1509	BSU_14380
G1519	BSU_14480
G1584	BSU_15090
G1622	BSU_15470
G1642	BSU_15670
G1663	BSU_15880
G1692	BSU_16170
G1725	BSU_16490
G1736	BSU_16600
G1737	BSU_16610
G1823	BSU_17450
G1838	BSU_17590
G1870	BSU_17850
G1885	BSU_18000
G1931	BSU_18420
G1935	BSU_18460
G2014	BSU_19120
G2022	BSU_19200
G2057	BSU_19540
G2189	BSU_20790
G2337	BSU_22120
G2371	BSU_22440
G2404	BSU_22770
G2440	BSU_23120
G2484	BSU_23520
G2491	BSU_23590
G2523	BSU_23880
G2537	BSU_24020
G2545	BSU_24100
G2558	BSU_24220
G2561	BSU_24250
G2588	BSU_24520
G2597	BSU_24610
G2613	BSU_24770
G2646	BSU_25100
G2661	BSU_25250
G2686	BSU_25490
G2720	BSU_25810
G2779	BSU_26350
G2788	BSU_26430
G2805	BSU_26580
G2815	BSU_26670
G2820	BSU_26720
G2854	BSU_27000
G2864	BSU_27080
G2874	BSU_27170
G2912	BSU_27520
G2951	BSU_27890
G2953	BSU_27910
G3005	BSU_28410
G3020	BSU_28550
G3052	BSU_28850
G3058	BSU_28920
G3066	BSU_29000
G3077	BSU_29110
G3098	BSU_29300
G3108	BSU_29400
G3135	BSU_29660
G3143	BSU_29740
G3193	BSU_30260
G3207	BSU_30400
G3213	BSU_30460
G3275	BSU_31070
G3289	BSU_31210
G3325	BSU_31530
G3340	BSU_31680
G3364	BSU_31920
G3414	BSU_32420
G3430	BSU_32560
G3465	BSU_32870
G3479	BSU_33010
G3482	BSU_33030
G3488	BSU_33080
G3502	BSU_33221
G3534	BSU_33520
G3548	BSU_33660
G3550	BSU_33680
G3561	BSU_33790
G3566	BSU_33840
G3577	BSU_33950
G3579	BSU_33970
G3599	BSU_34170
G3600	BSU_34180
G3619	BSU_34380
G3645	BSU_34630
G3654	BSU_34720
G3686	BSU_35030
G3691	BSU_35080
G3706	BSU_35230
G3707	BSU_35239
G3734	BSU_35490
G3751	BSU_35650
G3792	BSU_36020
G3802	BSU_36110
G3823	BSU_36300
G3835	BSU_36420
G3855	BSU_36600
G3905	BSU_37070
G3930	BSU_37310
G3962	BSU_37620
G3965	BSU_37650
G4007	BSU_38070
G4022	BSU_38220
G4032	BSU_38310
G4043	BSU_38420
G4046	BSU_38450
G4063	BSU_38600
G4112	BSU_39080
G4140	BSU_39340
G4149	BSU_39430
G4172	BSU_39660
G4183	BSU_39770
G4205	BSU_39990
G4212	BSU_40050
G4245	BSU_40350
G4253	BSU_40410
G4267	BSU_40540
